DOIs,Traits
love,O
poetry,O
literature,O
sleep,N
life,N
sleeping,N
internet,E
drawing,E
fantasy,E
books,E
video games,E
anime,E
manga,E
reading,E
computers,E
tv,C
cats,C
movies,C
sex,A
drinking,A
laughing,A
