DOI,color,group
love,Blue,Plasticity
poetry,Blue,Plasticity
literature,Blue,Plasticity
sleep,Red,Stability
life,Red,Stability
sleeping,Red,Stability
internet,Red,Plasticity
drawing,Blue,Plasticity
fantasy,Blue,Plasticity
books,Red,Plasticity
video games,Blue,Plasticity
anime,Blue,Plasticity
manga,Blue,Plasticity
reading,Red,Plasticity
computers,Red,Plasticity
tv,Blue,Stability
cats,Red,Stability
movies,Blue,Stability
sex,Red,Stability
drinking,Red,Stability
laughing,Red,Stability
,,
